nom	Procedes	NaPond	MgPond	AlPond	SiPond	PPond	SPond	ClPond	KPond	CaPond	TiPond	VPond	MnPond
3k pont puddlé	I	0	0.673419499	1.773300911	13.2926292	11.57582291	1.273318977	0.381859524	0.287889834	0.976238346	0.101169651	0.112011293	0.170631399
3g pont puddlé	I	0	1.021101139	1.851326305	11.370125	11.82407249	1.003543444	0.165956915	0.206697145	0.466132982	0.136445696	0.141770014	0.812612539
ORL6-1	I	0	0.953119034	1.081267334	15.90838135	3.947037529	0.515209167	0.214206204	1.719368706	5.988404704	0.147650661	0.250439899	0.223650845
ORL3-1	I	0	1.463647094	1.900015898	28.57409619	0.398564589	0.091418589	0.021942452	1.116747011	7.140320837	0.051825422	0.011967322	0.026315276
ORL2-1	I	0	0.863429381	1.026062969	16.63865056	2.990541949	0.539402026	0.282817443	1.601008781	5.369043764	0.203254985	0.192900149	0.3241893
ORL3-4	I	0	0.910370226	1.077935149	13.28488399	2.987415708	0.533556073	0.214300241	0.936667208	4.633094915	0.154987222	0.14032251	0.228236483
ORL3-3	I	0	1.076630397	1.761589516	29.35439022	0.079564861	0.105645365	0.048448706	3.113928785	11.32160097	0.67623885	0.192067475	0.536919133
NAESA1	I	0	0.40599841	0.377151685	6.159353774	0.221855261	0.457341531	0.627119866	0.179993475	2.031858232	0.547713314	0.511893558	3.562735338
NAESC1	I	0	0.919232192	0.85282259	6.290872298	0.742817242	0.40347826	0.553260998	0.446892689	5.171363014	0.483206531	0.451605437	7.927103847
NAESD1	I	0	0.202129717	0.285172457	8.018420503	0.395881655	0.394458416	0.540892729	0.105163285	2.158300305	0.472404345	0.441509699	11.2556753
NAESN1	I	0	0.093340688	0.141633093	10.18671487	0.45985187	0.423932957	0.581309068	0.332301887	1.296087919	0.507703126	0.474499985	3.302598077
NAESP1	I	0	0.616066957	0.277031212	6.570480353	2.674286635	0.374398799	0.513386405	0.041807823	2.150039814	0.448380899	0.419057357	12.99642718
LJAC01	I	0	0.733013284	4.907321844	15.49634453	2.546696743	0.314716888	0.431548851	0.836511296	0.442386985	0.376905699	0.352256544	0.563844126
LJAC04	I	0	0.698181486	0.959726712	10.37925067	9.711373399	0.282454088	0.387309172	0.691810689	2.371484062	0.338267693	0.316145414	7.685643244
LJAC03g	I	0	0.729144357	1.211081623	16.17355301	6.47932341	0.275712172	0.378064463	1.04062835	3.85518585	0.330193558	0.308599318	3.154109122
LJAC02	I	0	1.665535927	3.22771814	17.8833879	2.004699476	0.253046229	0.34698427	2.196675256	8.73681164	0.303048771	0.283229765	1.626406867
LJC1	I	0	0.919232192	0.85282259	6.290872298	0.742817242	0.40347826	0.553260998	0.446892689	2.419962989	0.483206531	0.451605437	7.927103847
MEL05-18	D	0	1.36307584	7.781323956	16.82400987	2.77983598	0.497711	0	2.156151829	15.87782722	0.192077528	0.014491765	0.011941735
FLEU02	I	0	0.461436266	0.841564252	14.10719706	4.06837288	1.340236654	0	0.746233425	2.66571949	0.020891094	0.066204126	1.410853172
BUF03	I	0	1.376077431	1.62472952	9.424379873	8.207527813	0.221198281	0	0.746028267	11.51704313	0.754278122	4.049547013	1.450461838
ARFON10a	D	0	0.67853294	6.958595525	10.83222034	0.716456147	1.187097919	0	0.847874155	22.7056448	0.266618503	0.004162874	0.017303381
OUL1884	D	0	0.731641901	2.779676263	13.82866466	0.218053042	0.34716389	0	0.6275137	2.402701213	0.210605299	0.000266628	0.013955649
